,name,vendor,category,shippingCountry,dollars,positiveRating,negativeRating,rating,main_category,legal,legality_reason
151,100 x PURE XANAX BARS GREEN ♠ PURE S903 XANAX BARS ♠ USA 2 USA ♠ $190,Muankum12,Xanax,United States,190,530,5,99,Drug,illegal,hard drug
152,#25X #SALE || LSD SHIVA GODNESS 220ug || USA AUS EU WW,WeAreAMSTERDAM,LSD,Netherlands,107,28944,209,99,Drug,illegal,hard drug
153,"1000mg (1g) HiQual freebase DMT (n,n-Dimethyltryptamine) Hawaiian Acacia Confusa 1000mg (1g)",DreamTimeKeeper,DMT,United States,90,570,0,100,Drug,illegal,hard drug
154,OFFICIAL RAW GARDEN THC VAPE CARTRIDGES FULL GRAM BEST PRICE.,Bestpricedcarts,Concentrates,United States,16,905,0,100,Concentrates,illegal,not specified
155,10 gram amphetamine A oil speed paste 80% Class 1,theolddoctor,Speed,Germany,21,1362,15,99,Drug,illegal,hard drug
156,SUBOXONE 8mg Films/strips 25$ each,scrypto1123,Others,United States,25,310,0,100,Others,illegal,not specified
157,#100X #SALE || XTC PINK MAYBACH 300MG || EU USA AUS WW,WeAreAMSTERDAM,Ecstasy,Netherlands,161,28944,209,99,Drug,illegal,hard drug
158,"CVV CREDIT CARDS DETAILS US, UK, EU, ASIA, AFRICA, AUSTRALIA",Loyal4royal,Services,United States,25,1115,16,99,CC/CVV,illegal,not specified
159,Speed Paste 90%+ Clean and Pure from UK Amphetamine 5g,bluemagic,Speed,United Kingdom,35,18313,42,100,Drug,illegal,hard drug
160,top brandedible skittles  edibles 500 mg,levelup,Edibles,United States,10,1516,0,100,Edibles,illegal,not specified
161,[AU✈AU] ♛FLASH SALE♛ 1 G MDMA – PURE HOLLAND IMPORT CRYSTAL - AUSTRALIA'S BEST,Hilfiger,MDMA,Australia,90,1970,5,100,Drug,illegal,hard drug
162,1 Gram DMT Free Shipping,vintage,DMT,Netherlands,70,620,20,97,Drug,illegal,hard drug
163,MASERATI 2CB 22MG PILLS XTC Ecstasy MDMA 2C-B x 10,bluemagic,2C,United Kingdom,50,18313,42,100,Drug,illegal,hard drug
164,[WW] Pfizer Xanax 1mg 30 Pills (1 box) original pharmacy! UNTIL NOV 30  65$,Hilfiger,Xanax,Not Specified,50,1970,5,100,Drug,illegal,hard drug
